SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
540651,Jigar Cables Ltd,Active,M,10.00,INE943X01015,,JIGAR,Equity,https://www.bseindia.com/stock-share-price/jigar-cables-ltd/jigar/540651/,Jigar Cables Limited,60.38
540652,Captain Technocast Ltd,Active,M,10.00,INE931X01010,,CTCL,Equity,https://www.bseindia.com/stock-share-price/captain-technocast-ltd/ctcl/540652/,Captain Technocast Limited,552.64
540654,Globalspace Technologies Ltd,Active,XT,10.00,INE632W01016,,GSTL,Equity,https://www.bseindia.com/stock-share-price/globalspace-technologies-ltd/gstl/540654/,GlobalSpace Technologies Limited,90.70
540669,UTI Nifty Next 50 ETF,Active,B,1.00,INF789F1AUW9,,NEXT50BETA,Equity,https://www.bseindia.com/stock-share-price/uti-nifty-next-50-etf/next50beta/540669/,UTI Mutual Fund,
540673,SIS Ltd,Active,B,5.00,INE285J01028,,SIS,Equity,https://www.bseindia.com/stock-share-price/sis-ltd/sis/540673/,SIS LIMITED,6065.33
540678,Cochin Shipyard Ltd,Active,A,5.00,INE704P01025,,COCHINSHIP,Equity,https://www.bseindia.com/stock-share-price/cochin-shipyard-ltd/cochinship/540678/,Cochin Shipyard Limited,38366.39
540679,Haleos Labs Ltd,Active,B,10.00,INE320X01016,,HALEOSLABS,Equity,https://www.bseindia.com/stock-share-price/haleos-labs-ltd/haleoslabs/540679/,HALEOS LABS LIMITED,446.84
540680,KIOCL Ltd,Active,A,10.00,INE880L01014,,KIOCL,Equity,https://www.bseindia.com/stock-share-price/kiocl-ltd/kiocl/540680/,KIOCL Limited,24574.42
540681,Chothani Foods Ltd,Active,M,10.00,INE344X01016,,CHOTHANI,Equity,https://www.bseindia.com/stock-share-price/chothani-foods-ltd/chothani/540681/,CHOTHANI FOODS LIMITED,9.29
540686,Smruthi Organics Ltd,Active,X,10.00,INE172E01011,,SMRUTHIORG,Equity,https://www.bseindia.com/stock-share-price/smruthi-organics-ltd/smruthiorg/540686/,Smruthi Organics Limited,135.24
540691,Aditya Birla Capital Ltd,Active,A,10.00,INE674K01013,,ABCAPITAL,Equity,https://www.bseindia.com/stock-share-price/aditya-birla-capital-ltd/abcapital/540691/,Aditya Birla Capital Ltd,98555.46
540692,Apex Frozen Foods Ltd,Active,B,10.00,INE346W01013,,APEX,Equity,https://www.bseindia.com/stock-share-price/apex-frozen-foods-ltd/apex/540692/,Apex Frozen Foods Limited,1313.91
540693,Shish Industries Ltd,Active,X,1.00,INE145Y01023,,SHISHIND,Equity,https://www.bseindia.com/stock-share-price/shish-industries-ltd/shishind/540693/,Shish Industries Limited,451.49
540694,ANG Lifesciences India Ltd,Active,B,10.00,INE236W01016,,ANG,Equity,https://www.bseindia.com/stock-share-price/ang-lifesciences-india-ltd/ang/540694/,ANG Lifesciences India Limited,39.01
540696,KCD Industries India Ltd,Active,X,1.00,INE185U01035,,KCDGROUP,Equity,https://www.bseindia.com/stock-share-price/kcd-industries-india-ltd/kcdgroup/540696/,KCD INDUSTRIES INDIA LIMITED,10.49
540699,Dixon Technologies (India) Ltd,Active,A,2.00,INE935N01020,,DIXON,Equity,https://www.bseindia.com/stock-share-price/dixon-technologies-(india)-ltd/dixon/540699/,Dixon Technologies (India) Limited,76499.12
540700,Bharat Road Network Ltd,Active,B,10.00,INE727S01012,,BRNL,Equity,https://www.bseindia.com/stock-share-price/bharat-road-network-ltd/brnl/540700/,Bharat Road Network Limited,157.91
540701,Dishman Carbogen Amcis Ltd,Active,B,2.00,INE385W01011,,DCAL,Equity,https://www.bseindia.com/stock-share-price/dishman-carbogen-amcis-ltd/dcal/540701/,Dishman Carbogen Amcis Limited,2677.86
